curve_id,group,rho,fc,E28,anchor_day,n_obs,last_day,elastic_included,split,stress_ratio,stress_ratio_recorded,applied_stress_recorded_MPa,ratio_review_flag
NU00017,NU_L103,2333.86,25.4,,1.0,9,141.0,True,train,0.386,0.386,9.81,False
NU00019,NU_L103,2333.86,25.4,,1.0,9,141.0,True,train,0.386,0.386,9.81,False
NU00020,NU_L103,2333.86,25.4,,1.0,9,141.0,True,train,0.386,0.386,9.81,False
NU00022,NU_L103,2338.78,28.0,,1.0,7,82.0,True,train,0.463,0.463,12.95,False
NU00024,NU_L103,2345.26,46.9,,1.0,7,85.0,True,train,0.448,0.448,20.99,False
NU00025,NU_L103,2338.78,28.0,,1.0,7,82.0,True,train,0.614,0.614,17.17,False
NU00026,NU_L103,2338.78,28.0,,1.0,7,82.0,True,train,0.688,0.688,19.23,False
NU00027,NU_L103,2345.26,46.9,,1.0,7,85.0,True,train,0.615,0.615,28.84,False
NU00029,NU_L109,2320.0,26.9,,1.0,9,150.0,True,test,0.429,0.429,4.91,False
NU00030,NU_L109,2320.0,26.9,,1.0,9,150.0,True,test,0.402,0.402,10.79,False
NU00031,NU_L109,2320.0,26.9,,1.0,8,151.0,True,test,0.406,0.406,13.73,False
NU00032,NU_L109,2320.0,41.9,,1.0,9,150.0,True,test,0.398,0.398,11.77,False
NU00033,NU_L109,2320.0,41.9,,1.0,9,150.0,True,test,0.394,0.394,16.68,False
NU00034,NU_L109,2320.0,41.9,,1.0,12,150.0,True,test,0.401,0.401,19.13,False
NU00035,NU_L109,2369.8,43.1,,1.0,9,150.0,True,test,0.398,0.398,17.17,False
NU00036,NU_L109,2360.45,35.3,,1.0,9,150.0,True,test,0.402,0.402,14.22,False
NU00037,NU_L109,2310.1000000000004,19.0,,1.0,9,153.0,True,test,0.42,0.42,7.85,False
NU00050,NU_L110,2340.15,24.4,20620.0,0.0599194,22,155.0,True,train,0.394,0.394,9.61,False
NU00051,NU_L110,2365.45,25.8,32790.0,0.214587,24,157.0,True,train,0.373,0.373,9.61,False
NU00052,NU_L110,2341.15,26.4,26670.0,0.190425,20,129.0,True,train,0.365,0.365,9.61,False
NU00053,NU_L110,2405.55,23.4,17860.0,0.0567541,20,155.0,True,train,0.411,0.411,9.61,False
NU00054,NU_L110,2377.15,27.8,22370.0,0.0178853,20,138.0,True,train,0.346,0.346,9.61,False
NU00055,NU_L110,2632.35,28.4,30310.0,0.234152,20,158.0,True,train,0.339,0.339,9.61,False
NU00056,NU_L59,2349.02,45.2,25860.0,0.012,5,91.0,True,test,0.415,0.415,14.8,False
NU00057,NU_L59,2349.02,45.2,25860.0,0.063,5,91.0,True,test,0.48,0.48,17.11,False
NU00058,NU_L59,2349.02,45.2,25860.0,0.1,5,91.0,True,test,0.396,0.396,14.12,False
NU00059,NU_L59,2349.02,45.2,25860.0,0.057,5,91.0,True,test,0.336,0.336,11.97,False
NU00060,NU_L59,2349.02,45.2,25860.0,0.06,5,91.0,True,test,0.32,0.32,11.42,False
NU00061,NU_L59,2349.02,45.2,25860.0,0.1,5,91.0,True,test,0.48,0.48,17.11,False
NU00062,NU_L59,2349.02,45.2,25860.0,0.18,5,91.0,True,test,0.42,0.42,14.97,False
NU00063,NU_L59,2349.02,45.2,25860.0,0.21,5,91.0,True,test,0.385,0.385,13.75,False
NU00064,NU_L62,2206.4,33.9,,1.0,11,150.0,True,train,0.193,0.193,4.91,False
NU00068,NU_L62,2206.4,33.9,,1.0,11,150.0,True,train,0.386,0.386,9.81,False
NU00069,NU_L62,2206.4,33.9,,1.0,8,95.0,True,train,0.297,0.297,9.81,False
NU00070,NU_L62,2206.4,33.9,,1.0,10,159.0,True,train,0.289,0.289,9.81,False
NU00079,NU_L62,2206.4,33.9,,1.0,11,150.0,True,train,0.386,0.386,9.81,False
NU00082,NU_L62,2206.4,33.9,,1.0,10,159.0,True,train,0.289,0.289,9.81,False
NU00085,NU_L62,2206.4,33.9,,1.0,11,150.0,True,train,0.482,0.482,12.26,False
NU00086,NU_L62,2206.4,33.9,,1.0,10,159.0,True,train,0.362,0.362,12.26,False
