curve_id,group,split,t_day,increment_ue_per_MPa,anchor_day,context_at_day10,rho,fc,E28
NU00017,NU_L103,train,1.0,0.0,1.0,True,2333.86,25.4,
NU00017,NU_L103,train,2.0,8.0,1.0,True,2333.86,25.4,
NU00017,NU_L103,train,4.0,13.0,1.0,True,2333.86,25.4,
NU00017,NU_L103,train,8.0,18.0,1.0,True,2333.86,25.4,
NU00017,NU_L103,train,15.0,24.0,1.0,False,2333.86,25.4,
NU00017,NU_L103,train,29.0,33.0,1.0,False,2333.86,25.4,
NU00017,NU_L103,train,56.0,44.0,1.0,False,2333.86,25.4,
NU00017,NU_L103,train,90.0,52.0,1.0,False,2333.86,25.4,
NU00017,NU_L103,train,141.0,58.0,1.0,False,2333.86,25.4,
NU00019,NU_L103,train,1.0,0.0,1.0,True,2333.86,25.4,
NU00019,NU_L103,train,2.0,6.0,1.0,True,2333.86,25.4,
NU00019,NU_L103,train,4.0,10.0,1.0,True,2333.86,25.4,
NU00019,NU_L103,train,8.0,14.0,1.0,True,2333.86,25.4,
NU00019,NU_L103,train,15.0,18.0,1.0,False,2333.86,25.4,
NU00019,NU_L103,train,29.0,26.0,1.0,False,2333.86,25.4,
NU00019,NU_L103,train,56.0,34.0,1.0,False,2333.86,25.4,
NU00019,NU_L103,train,90.0,37.0,1.0,False,2333.86,25.4,
NU00019,NU_L103,train,141.0,42.0,1.0,False,2333.86,25.4,
NU00020,NU_L103,train,1.0,0.0,1.0,True,2333.86,25.4,
NU00020,NU_L103,train,2.0,6.0,1.0,True,2333.86,25.4,
NU00020,NU_L103,train,4.0,10.0,1.0,True,2333.86,25.4,
NU00020,NU_L103,train,8.0,13.0,1.0,True,2333.86,25.4,
NU00020,NU_L103,train,15.0,18.0,1.0,False,2333.86,25.4,
NU00020,NU_L103,train,29.0,25.0,1.0,False,2333.86,25.4,
NU00020,NU_L103,train,56.0,31.0,1.0,False,2333.86,25.4,
NU00020,NU_L103,train,90.0,35.0,1.0,False,2333.86,25.4,
NU00020,NU_L103,train,141.0,40.0,1.0,False,2333.86,25.4,
NU00022,NU_L103,train,1.0,0.0,1.0,True,2338.78,28.0,
NU00022,NU_L103,train,3.0,11.0,1.0,True,2338.78,28.0,
NU00022,NU_L103,train,7.0,21.0,1.0,True,2338.78,28.0,
NU00022,NU_L103,train,13.0,28.0,1.0,False,2338.78,28.0,
NU00022,NU_L103,train,28.0,39.0,1.0,False,2338.78,28.0,
NU00022,NU_L103,train,56.0,50.0,1.0,False,2338.78,28.0,
NU00022,NU_L103,train,82.0,56.0,1.0,False,2338.78,28.0,
NU00024,NU_L103,train,1.0,0.0,1.0,True,2345.26,46.9,
NU00024,NU_L103,train,3.0,6.0,1.0,True,2345.26,46.9,
NU00024,NU_L103,train,7.0,11.0,1.0,True,2345.26,46.9,
NU00024,NU_L103,train,14.0,15.0,1.0,False,2345.26,46.9,
NU00024,NU_L103,train,28.0,22.0,1.0,False,2345.26,46.9,
NU00024,NU_L103,train,55.0,29.0,1.0,False,2345.26,46.9,
NU00024,NU_L103,train,85.0,33.0,1.0,False,2345.26,46.9,
NU00025,NU_L103,train,1.0,0.0,1.0,True,2338.78,28.0,
NU00025,NU_L103,train,3.0,16.299999999999997,1.0,True,2338.78,28.0,
NU00025,NU_L103,train,7.0,29.0,1.0,True,2338.78,28.0,
NU00025,NU_L103,train,13.0,39.89999999999999,1.0,False,2338.78,28.0,
NU00025,NU_L103,train,28.0,54.2,1.0,False,2338.78,28.0,
NU00025,NU_L103,train,56.0,69.99999999999999,1.0,False,2338.78,28.0,
NU00025,NU_L103,train,82.0,78.60000000000001,1.0,False,2338.78,28.0,
NU00026,NU_L103,train,1.0,0.0,1.0,True,2338.78,28.0,
NU00026,NU_L103,train,3.0,11.599999999999994,1.0,True,2338.78,28.0,
NU00026,NU_L103,train,7.0,30.89999999999999,1.0,True,2338.78,28.0,
